 cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/org_apache_commons_math3_optimization_direct_BOBYQAOptimizer_bobyqb_0_basic.dot,138,Timeout,Exponential,1.0220783577336435*^81*1.79^n,7.208943317229245*^124 + 6.5164779960232*^126*0.47000000000000003^n + 5.023903010864703*^120*0.56^n + 1.46898688235873*^121*0.6^n + 2.0592266756099336*^127*0.61^n + 1.6626304673608518*^128*0.66^n + 2.475774786059482*^128*0.68^n + 7.256535693514138*^116*0.6900000000000001^n + 9.66878434585353*^127*0.7000000000000001^n + 5.0916059065656396*^126*0.71^n + 4.0725990515925974*^123*0.78^n + 1.0731367767223455*^123*0.79^n + 5.90687076147486*^121*0.81^n + 4.755436792376809*^123*0.8300000000000001^n + 3.2278539498393437*^121*0.84^n + 1.5833541750322037*^117*0.86^n + 3.7420986144825405*^121*0.87^n + 2.1831663113294643*^125*0.89^n + 2.8745752040071317*^118*0.92^n + 9.482759520428157*^118*0.93^n + 8.361134507966225*^113*0.9400000000000001^n + 7.009063299192402*^113*0.97^n + 1.1308842577564354*^116*0.98^n + 6.9003632266724855*^118*0.99^n + 3.762483224974198*^110*1.01^n + 4.317952841311971*^110*1.03^n + 8.251255086632188*^109*1.04^n + 1.119121433089619*^110*1.05^n + 2.3470525011508745*^110*1.06^n + 1.0169095499978406*^109*1.07^n + 2.7294259393517675*^116*1.1^n + 1.730813801230722*^106*1.11^n + 2.078986653855951*^107*1.12^n + 6.232901221881914*^103*1.16^n + 3.4016222446514044*^104*1.17^n + 9.530843613782037*^112*1.2^n + 1.507604018622933*^101*1.21^n + 4.9846893842519555*^113*1.22^n + 1.0889253627811489*^113*1.23^n + 4.234496665556083*^112*1.24^n + 3.8006954021083387*^112*1.25^n + 6.531111441316221*^111*1.26^n + 3.685675590567976*^113*1.27^n + 3.109012428449268*^97*1.28^n + 2.243052715125311*^110*1.29^n + 4.862693716633237*^95*1.3^n + 2.223159833408888*^110*1.32^n + 1.46826512879287*^108*1.35^n + 2.1868634427431138*^107*1.36^n + 8.634160711219224*^91*1.37^n + 2.438047704433434*^104*1.3800000000000001^n + 6.072727036405736*^103*1.3900000000000001^n + 1.4593116714180186*^100*1.43^n + 1.6262944249537769*^93*1.51^n + 1.0220783577336435*^81*1.79^n + 5.1684491795727906*^123*n + 1.4218098974688052*^120*0.87^n*n + 7.927232427616844*^107*1.32^n*n + 1.5107418893594843*^122*n^2. + 1.4897726042302788*^118*0.87^n*n^2. + 1.479775368144575*^103*1.32^n*n^2. + 2.294778493531386*^120*n^3. + 2.587062017465904*^118*n^4. + 5.1855746991893915*^116*n^5. + 9.69052678063418*^114*n^6. + 9.98228236067647*^112*n^7. + 7.464857618121967*^110*n^8. + 1.2368188832274452*^109*n^9. + 1.3111185430574303*^107*n^10. + 7.696070437422348*^104*n^11. + 5.3372875610181975*^101*n^12. + 2.631312042528215*^100*n^13. + 1.6360603714095466*^98*n^14. + 3.2370847200610803*^95*n^15.
/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/org_apache_commons_math3_optimization_direct_BOBYQAOptimizer_caller_0_basic.dot,1,1,Constant,1,1
/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/org_apache_commons_math3_optimization_direct_BOBYQAOptimizer_doOptimize_0_basic.dot,3,4,Constant,4,4
/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/org_apache_commons_math3_optimization_direct_BOBYQAOptimizer_<init>_0_basic.dot,1,1,Constant,1,1
/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/org_apache_commons_math3_optimization_direct_BOBYQAOptimizer_prelim_0_basic.dot,30,Timeout,Exponential,1.227616888487*^10*1.55^n,92.75 + 22797.670000000002*0.5^n + 25582.49*0.53^n + 2.9*0.62^(0.5*n) + 2740.4900000000002*0.72^n + 13.34*0.86^n + 40.85*0.87^n + 1.42*0.9400000000000001^n + 107.08*0.99^n + 1.23*1.04^n + 29.51*1.12^n + 41.22*1.1300000000000001^n + 465.48*1.16^n + 508.62*1.17^n + 738.3100000000001*1.19^n + 33343.39*1.28^n + 1.797229389*^7*1.32^n + 8.529887208*^7*1.42^n + 1.227616888487*^10*1.55^n + 1.51926918*^6*1.62^(0.5*n) + 0.07*n
/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/org_apache_commons_math3_optimization_direct_BOBYQAOptimizer_printMethod_0_basic.dot,1,1,Constant,1,1
/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/org_apache_commons_math3_optimization_direct_BOBYQAOptimizer_printState_0_basic.dot,1,1,Constant,1,1
/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/org_apache_commons_math3_optimization_direct_BOBYQAOptimizer_setup_0_basic.dot,6,7,Polynomial,1.*n,8. + 1.*n
/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/org_apache_commons_math3_optimization_direct_BOBYQAOptimizer_trsbox_0_basic.dot,82,Timeout,Exponential,2.526674516720097*^40*1.79^n,6.851644335345468*^49 + 2.560837772657387*^51*0.52^n + 1.972400700133628*^53*0.68^n + 1.0829303885718415*^50*0.6900000000000001^n + 1.0262133428469427*^53*0.72^n + 9.277557645162009*^52*0.78^n + 5.730568490014275*^49*0.8^n + 4.010540156483142*^51*0.86^n + 5.921150671536314*^48*0.87^n + 9.142844984800567*^48*0.89^n + 3.0745354225864025*^50*0.9500000000000001^n + 1.0678919612728443*^43*0.96^n + 1.1380669430088137*^47*0.97^n + 3.3933511763817097*^47*0.98^n + 8.694546214352976*^44*0.99^n + 1.7622414631662248*^46*1.03^n + 1.584711014986087*^46*1.06^n + 3.0398964434698463*^42*1.11^n + 4.914480099345272*^44*1.12^n + 4.0476265954814095*^44*1.16^n + 4.793651021402523*^47*1.17^n + 4.965965955429274*^42*1.2^n + 8.649707862953717*^42*1.21^n + 6.150491197122679*^47*1.22^n + 3.984018198385841*^47*1.27^n + 3.0327069469436374*^40*1.3^n + 4.905981402785424*^47*1.31^n + 2.5796949316483515*^48*1.32^n + 2.3278301772544244*^46*1.35^n + 7.058677351149654*^45*1.36^n + 8.417140041777738*^39*1.45^n + 2.526674516720097*^40*1.79^n + 1.3473566598447129*^48*2.^(0.25*n) + 9.180253403987154*^47*n + 1.7723907414779417*^52*0.72^n*n + 4.419738460986936*^44*1.06^n*n + 2.3405521361923874*^46*1.22^n*n
/home/tunghn1/Inf199/PathComplexity/scripts/cfgextractor/outputs/math/org_apache_commons_math3_optimization_direct_BOBYQAOptimizer_update_0_basic.dot,11,192,Exponential,6934.24*1.35^n,0.6 + 0.01*0.87^n + 2.41*1.22^n + 5842.*1.32^n + 6934.24*1.35^n + 536.16*1.62^(0.5*n)
